ecosystem,decline_index
Coral Reefs,91
Coral Reefs,87
Coral Reefs,83
Coral Reefs,79
Coral Reefs,74

Wetlands,72
Wetlands,69
Wetlands,66
Wetlands,63
Wetlands,58

Temperate Forests,64
Temperate Forests,61
Temperate Forests,58
Temperate Forests,54
Temperate Forests,50

Grasslands,56
Grasslands,52
Grasslands,48
Grasslands,45
Grasslands,41

Arid Ecosystems,47
Arid Ecosystems,44
Arid Ecosystems,40
Arid Ecosystems,37
Arid Ecosystems,33

Alpine Regions,78
Alpine Regions,74
Alpine Regions,69
Alpine Regions,65
Alpine Regions,60
