year,short_label,event,impact_level,category
1996,Amphibian Decline,National decline in amphibian populations documented,Moderate,Species Loss
1999,EPBC Act,Environment Protection and Biodiversity Conservation Act enacted,Moderate,Policy
2006,Murray-Darling Drought,Severe Murray-Darling Basin drought intensifies ecosystem stress,High,Climate
2011,Coral Bleaching,Major coral bleaching recorded on the Great Barrier Reef,High,Marine
2015,Threatened Species,Threatened species count exceeds 1800 nationally,High,Species Loss
2019,Black Summer Fires,Black Summer bushfires devastate wildlife habitats,Critical,Bushfires
2020,3 Billion Animals,Over 3 billion animals affected by bushfires,Critical,Bushfires
2021,Koala Endangered,Koala officially listed as endangered in several states,High,Species Loss
2022,Invasive Species Program,Large-scale invasive species eradication programs expanded,Moderate,Conservation
2023,Restoration Funding,National biodiversity restoration funding increased,Moderate,Conservation
